"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"-34.300~172.900",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.300~173.000",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.300~173.100",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.400~172.600",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.400~172.700",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.400~172.800",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.400~172.900",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.400~173.000",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.400~173.100",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.500~172.600",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.500~172.700",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"-34.500~172.800",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
