"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Kerikeri",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Haruru",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Paihia",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Opua",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Kawakawa",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Moerewa",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Kaikohe",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Hikurangi",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Ngunguru",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Whangarei",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"One Tree Point",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Ruakaka",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
"Dargaville",6.2,"n/a",0.09,0.19,0.4,0.11,0.22,0.4,0.12,0.26,0.5,0.13,0.3,0.6,0.14,0.34,0.7,0.15,0.39,0.7
