"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Kerikeri",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Haruru",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Paihia",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Opua",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Kawakawa",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Moerewa",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Kaikohe",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Hikurangi",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Ngunguru",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"Whangarei",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
"One Tree Point",6.2,"n/a",0.03,0.06,0.4,0.03,0.07,0.4,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.12,0.6,0.06,0.15,0.6
