"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Kerikeri",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Haruru",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Paihia",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Opua",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Kawakawa",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Moerewa",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Kaikohe",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Hikurangi",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Ngunguru",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Whangarei",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"One Tree Point",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Ruakaka",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Dargaville",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Waipu",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Mangawhai Heads",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Wellsford",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"Warkworth",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
