"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Kerikeri",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Haruru",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Paihia",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Opua",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Kawakawa",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Moerewa",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Kaikohe",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Hikurangi",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Ngunguru",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Whangarei",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"One Tree Point",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Ruakaka",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Dargaville",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Waipu",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Mangawhai Heads",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Wellsford",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Warkworth",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Snells Beach",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Hibiscus Coast",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
"Parakai",6.3,">20",0.13,0.29,0.4,0.16,0.33,0.4,0.18,0.38,0.5,0.2,0.44,0.6,0.2,0.48,0.7,0.21,0.53,0.8
